origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios
SIMULADO,2000000,9000000,USF 001,eSF 001,Distrito Sanitário V,0.707,67.5,4045,54.3,71.9,57.7,54.8,68.5,71.7,55.5,81.2
SIMULADO,2000007,9000003,USF 002,eSF 002,Distrito Sanitário I,0.586,67.5,3734,81.2,87.4,75.9,64.9,66.4,65.6,85.0,84.0
SIMULADO,2000014,9000006,USF 003,eSF 003,Distrito Sanitário VI,0.748,78.2,3367,68.7,78.0,45.5,55.9,38.5,44.9,63.8,72.8
SIMULADO,2000021,9000009,USF 004,eSF 004,Distrito Sanitário III,0.765,88.8,3232,34.2,58.1,34.4,55.4,41.0,54.6,64.6,71.7
SIMULADO,2000028,9000012,USF 005,eSF 005,Distrito Sanitário VI,0.504,51.9,2497,46.0,85.7,36.8,58.7,54.0,56.8,66.0,72.6
SIMULADO,2000035,9000015,USF 006,eSF 006,Distrito Sanitário V,0.563,46.5,2914,63.1,76.8,71.9,79.9,58.7,71.2,81.1,74.3
SIMULADO,2000042,9000018,USF 007,eSF 007,Distrito Sanitário VIII,0.692,58.2,3629,80.4,61.0,55.3,72.5,49.0,73.0,76.9,92.0
SIMULADO,2000049,9000021,USF 008,eSF 008,Distrito Sanitário III,0.652,78.4,4505,85.5,89.8,68.7,70.2,86.0,60.4,86.0,79.4
SIMULADO,2000056,9000024,USF 009,eSF 009,Distrito Sanitário VIII,0.678,81.6,4452,84.8,74.1,69.7,72.5,63.4,83.2,76.6,74.7
SIMULADO,2000063,9000027,USF 010,eSF 010,Distrito Sanitário VII,0.603,58.9,2687,62.5,73.8,75.0,58.8,86.3,70.0,62.3,82.5
SIMULADO,2000070,9000030,USF 011,eSF 011,Distrito Sanitário III,0.759,72.8,3966,64.9,86.1,70.6,67.8,64.6,70.0,82.2,80.9
SIMULADO,2000077,9000033,USF 012,eSF 012,Distrito Sanitário IV,0.75,86.7,2420,100.0,100.0,86.0,85.8,100.0,81.4,100.0,79.9
SIMULADO,2000084,9000036,USF 013,eSF 013,Distrito Sanitário V,0.686,59.7,3955,63.1,63.5,68.3,71.1,53.9,63.7,72.7,81.7
SIMULADO,2000091,9000039,USF 014,eSF 014,Distrito Sanitário VII,0.781,71.0,3089,46.7,56.4,50.8,36.5,39.1,12.2,45.9,60.5
SIMULADO,2000098,9000042,USF 015,eSF 015,Distrito Sanitário VI,0.722,77.4,3369,87.4,100.0,87.2,78.5,69.0,92.0,91.2,76.9
SIMULADO,2000105,9000045,USF 016,eSF 016,Distrito Sanitário VII,0.603,57.1,4065,58.5,74.9,58.7,59.7,33.9,36.3,70.4,79.4
SIMULADO,2000112,9000048,USF 017,eSF 017,Distrito Sanitário III,0.713,71.3,3304,69.6,79.2,74.0,36.7,60.5,64.6,82.6,80.2
SIMULADO,2000119,9000051,USF 018,eSF 018,Distrito Sanitário V,0.594,58.1,4299,87.8,98.6,84.8,50.4,78.3,74.8,75.4,72.1
SIMULADO,2000126,9000054,USF 019,eSF 019,Distrito Sanitário IV,0.759,78.6,3587,54.0,35.8,45.1,45.8,33.8,54.0,54.0,78.0
SIMULADO,2000133,9000057,USF 020,eSF 020,Distrito Sanitário VIII,0.676,78.8,4796,31.3,51.2,46.5,39.6,21.0,41.6,63.0,70.5
SIMULADO,2000140,9000060,USF 021,eSF 021,Distrito Sanitário III,0.663,67.1,3859,19.6,40.9,40.2,36.2,14.9,30.9,54.5,62.6
SIMULADO,2000147,9000063,USF 022,eSF 022,Distrito Sanitário V,0.619,67.0,2970,61.6,59.2,32.2,29.2,23.6,42.4,53.5,80.5
SIMULADO,2000154,9000066,USF 023,eSF 023,Distrito Sanitário I,0.79,62.6,4215,87.6,77.2,75.8,67.0,44.1,84.9,79.0,79.7
SIMULADO,2000161,9000069,USF 024,eSF 024,Distrito Sanitário VII,0.666,66.2,3260,61.8,77.0,49.8,84.5,60.6,73.5,79.0,77.3
SIMULADO,2000168,9000072,USF 025,eSF 025,Distrito Sanitário IV,0.641,57.4,3588,48.9,90.6,51.4,67.7,67.2,59.5,72.8,70.2
SIMULADO,2000175,9000075,USF 026,eSF 026,Distrito Sanitário III,0.648,55.1,2555,45.1,49.1,50.8,37.4,31.5,37.7,57.3,68.4
SIMULADO,2000182,9000078,USF 027,eSF 027,Distrito Sanitário V,0.728,65.8,2510,44.1,44.9,36.4,21.6,0.0,14.6,46.4,62.3
SIMULADO,2000189,9000081,USF 028,eSF 028,Distrito Sanitário IV,0.713,68.6,3694,85.2,71.7,75.9,54.6,52.7,67.3,81.5,74.9
SIMULADO,2000196,9000084,USF 029,eSF 029,Distrito Sanitário VII,0.717,79.0,2685,65.2,67.2,49.6,29.2,45.8,37.9,59.7,64.9
SIMULADO,2000203,9000087,USF 030,eSF 030,Distrito Sanitário V,0.719,61.3,4793,69.4,79.7,53.2,67.4,83.4,76.9,71.1,78.8
SIMULADO,2000210,9000090,USF 031,eSF 031,Distrito Sanitário V,0.873,87.5,4424,73.8,93.2,72.6,83.1,54.4,80.0,80.1,80.7
SIMULADO,2000217,9000093,USF 032,eSF 032,Distrito Sanitário I,0.643,60.5,4022,65.8,82.4,59.3,40.6,48.9,86.3,77.0,63.9
SIMULADO,2000224,9000096,USF 033,eSF 033,Distrito Sanitário I,0.634,60.8,4110,71.0,95.0,67.3,58.5,80.0,58.6,66.3,67.0
SIMULADO,2000231,9000099,USF 034,eSF 034,Distrito Sanitário IV,0.607,68.7,3747,55.3,74.7,70.2,44.8,57.8,60.4,62.0,79.3
SIMULADO,2000238,9000102,USF 035,eSF 035,Distrito Sanitário VIII,0.735,77.8,2356,95.3,86.5,63.4,56.2,68.4,89.4,61.9,57.6
SIMULADO,2000245,9000105,USF 036,eSF 036,Distrito Sanitário VIII,0.782,88.9,3220,77.2,55.7,55.7,51.4,48.1,67.7,65.0,72.0
SIMULADO,2000252,9000108,USF 037,eSF 037,Distrito Sanitário VI,0.67,65.7,3489,73.6,68.0,44.0,31.9,53.3,51.1,60.3,68.8
SIMULADO,2000259,9000111,USF 038,eSF 038,Distrito Sanitário VI,0.604,54.9,4579,55.7,79.7,62.3,62.9,60.8,63.2,68.1,85.0
SIMULADO,2000266,9000114,USF 039,eSF 039,Distrito Sanitário IV,0.606,58.8,2770,82.2,87.8,66.2,73.1,52.4,69.7,81.6,75.0
SIMULADO,2000273,9000117,USF 040,eSF 040,Distrito Sanitário II,0.739,75.8,3491,68.4,70.4,46.4,50.9,59.0,60.9,62.7,77.3
SIMULADO,2000280,9000120,USF 041,eSF 041,Distrito Sanitário I,0.747,76.1,3094,79.6,89.5,65.1,40.6,47.8,63.9,77.9,75.3
SIMULADO,2000287,9000123,USF 042,eSF 042,Distrito Sanitário III,0.729,64.2,2549,75.9,74.2,53.9,44.4,54.5,58.5,66.2,73.7
SIMULADO,2000294,9000126,USF 043,eSF 043,Distrito Sanitário III,0.62,62.7,2467,67.5,78.2,50.7,65.6,50.6,40.6,72.7,78.4
SIMULADO,2000301,9000129,USF 044,eSF 044,Distrito Sanitário II,0.701,71.9,3149,85.0,86.7,89.3,40.0,58.4,75.0,81.9,76.4
SIMULADO,2000308,9000132,USF 045,eSF 045,Distrito Sanitário III,0.691,89.2,2414,44.1,41.1,29.1,25.5,24.9,38.3,45.9,68.2
SIMULADO,2000315,9000135,USF 046,eSF 046,Distrito Sanitário I,0.7,85.0,2374,51.2,57.3,37.7,26.9,28.6,41.5,56.5,57.3
SIMULADO,2000322,9000138,USF 047,eSF 047,Distrito Sanitário V,0.758,69.0,3112,29.7,28.2,17.3,47.5,23.5,26.9,64.1,67.0
SIMULADO,2000329,9000141,USF 048,eSF 048,Distrito Sanitário VIII,0.7,67.7,2725,34.1,43.2,16.1,17.7,17.0,39.5,50.3,65.3
SIMULADO,2000336,9000144,USF 049,eSF 049,Distrito Sanitário VI,0.741,62.4,3642,52.6,32.4,47.8,53.9,33.7,57.9,54.6,75.3
SIMULADO,2000343,9000147,USF 050,eSF 050,Distrito Sanitário IV,0.686,63.9,2245,63.1,67.2,61.0,73.3,66.9,64.4,82.1,94.7
SIMULADO,2000350,9000150,USF 051,eSF 051,Distrito Sanitário IV,0.706,73.1,2984,79.0,72.7,69.7,73.0,37.3,55.3,60.1,66.3
SIMULADO,2000357,9000153,USF 052,eSF 052,Distrito Sanitário III,0.737,83.3,3378,87.5,80.9,60.9,59.6,65.4,50.7,82.8,65.1
SIMULADO,2000364,9000156,USF 053,eSF 053,Distrito Sanitário II,0.549,49.1,4704,88.8,71.4,81.6,70.6,49.9,60.6,85.8,72.1
SIMULADO,2000371,9000159,USF 054,eSF 054,Distrito Sanitário V,0.651,59.9,3849,85.2,82.8,75.8,58.5,64.0,73.1,84.7,88.3
SIMULADO,2000378,9000162,USF 055,eSF 055,Distrito Sanitário V,0.638,46.6,4489,76.0,81.1,55.4,66.5,43.2,71.2,69.8,77.0
SIMULADO,2000385,9000165,USF 056,eSF 056,Distrito Sanitário I,0.623,60.9,3092,81.9,84.1,73.4,65.3,83.7,71.2,81.0,83.7
SIMULADO,2000392,9000168,USF 057,eSF 057,Distrito Sanitário IV,0.655,57.0,3369,67.5,91.8,58.0,51.1,56.6,68.1,75.3,65.4
SIMULADO,2000399,9000171,USF 058,eSF 058,Distrito Sanitário III,0.815,77.2,3292,47.9,65.3,70.0,50.1,44.0,49.3,61.4,75.9
SIMULADO,2000406,9000174,USF 059,eSF 059,Distrito Sanitário II,0.602,53.2,4507,57.7,63.8,21.1,28.8,46.6,52.3,64.6,59.2
