origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios,eixo_indicadores_assistenciais,eixo_autoavaliacao_equipes,eixo_satisfacao_usuarios,desempenho_bruto,ajuste_contexto,pulso,classificacao,eixo_mais_fraco,grupo
SIMULADO,2000000,9000000,USF 001,eSF 001,Distrito Sanitário V,0.707,67.5,4045,54.3,71.9,57.7,54.8,68.5,71.7,55.5,81.2,58.0734842931609,30.685358255451717,67.47404844290658,54.5,0.1,54.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000007,9000003,USF 002,eSF 002,Distrito Sanitário I,0.586,67.5,3734,81.2,87.4,75.9,64.9,66.4,65.6,85.0,84.0,70.61990041607733,76.63551401869158,72.31833910034602,72.2,3.5,75.6,Excelência,indicadores_assistenciais,1
SIMULADO,2000014,9000006,USF 003,eSF 003,Distrito Sanitário VI,0.748,78.2,3367,68.7,78.0,45.5,55.9,38.5,44.9,63.8,72.8,50.55264405277183,43.613707165109034,52.941176470588225,49.6,-2.5,47.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2000021,9000009,USF 004,eSF 004,Distrito Sanitário III,0.765,88.8,3232,34.2,58.1,34.4,55.4,41.0,54.6,64.6,71.7,39.096436478655,44.85981308411214,51.03806228373703,42.6,-4.3,38.3,Crítico,indicadores_assistenciais,0
SIMULADO,2000028,9000012,USF 005,eSF 005,Distrito Sanitário VI,0.504,51.9,2497,46.0,85.7,36.8,58.7,54.0,56.8,66.0,72.6,51.53631703375223,47.0404984423676,52.59515570934254,50.8,7.8,58.7,Atenção,autoavaliacao_equipes,0
SIMULADO,2000035,9000015,USF 006,eSF 006,Distrito Sanitário V,0.563,46.5,2914,63.1,76.8,71.9,79.9,58.7,71.2,81.1,74.3,66.25786923015758,70.5607476635514,55.536332179930795,65.0,6.9,71.9,Atenção,satisfacao_usuarios,1
SIMULADO,2000042,9000018,USF 007,eSF 007,Distrito Sanitário VIII,0.692,58.2,3629,80.4,61.0,55.3,72.5,49.0,73.0,76.9,92.0,60.78123445000733,64.01869158878506,86.159169550173,66.5,1.8,68.3,Atenção,indicadores_assistenciais,1
SIMULADO,2000049,9000021,USF 008,eSF 008,Distrito Sanitário III,0.652,78.4,4505,85.5,89.8,68.7,70.2,86.0,60.4,86.0,79.4,74.11425991040615,78.19314641744548,64.3598615916955,73.0,0.2,73.2,Atenção,satisfacao_usuarios,1
SIMULADO,2000056,9000024,USF 009,eSF 009,Distrito Sanitário VIII,0.678,81.6,4452,84.8,74.1,69.7,72.5,63.4,83.2,76.6,74.7,71.47281589191017,63.55140186915887,56.228373702422154,66.8,-1.0,65.9,Atenção,satisfacao_usuarios,1
SIMULADO,2000063,9000027,USF 010,eSF 010,Distrito Sanitário VII,0.603,58.9,2687,62.5,73.8,75.0,58.8,86.3,70.0,62.3,82.5,66.47473498909604,41.27725856697819,69.72318339100346,62.1,4.1,66.2,Atenção,autoavaliacao_equipes,1
