unidade,distrito,indicador,prioridade,acao,motivo
USF 004,Distrito Sanitário III,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 34%, 22 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 007,Distrito Sanitário VIII,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 61%, 20 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 007,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 49%, 16 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 013,Distrito Sanitário V,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 64%, 17 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 014,Distrito Sanitário VII,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 12%, 39 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 017,Distrito Sanitário III,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 37%, 30 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 018,Distrito Sanitário V,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 50%, 16 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 019,Distrito Sanitário IV,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 36%, 28 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 020,Distrito Sanitário VIII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 31%, 25 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 020,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 21%, 20 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
